Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
2/18/2015,3:40:00,MCP,"4th district, Wheaton","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",PARKING LOT OF 18143 VILLAGE CENTER DR,39.15305,-77.06339167,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,2013,FORD,4D,BLACK,Citation,16-101(a),Transportation Article,No,BLACK,M,NEW CARROLLTON,MD,MD,A - Marked Patrol,"(39.15305, -77.0633916666667)"
5/22/2014,10:26:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,MVA @ WALKERS CHOICE RD,39.16501,-77.204385,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,GEO,PRIZM,GREEN,Citation,16-101(a),Transportation Article,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,NC,A - Marked Patrol,"(39.16501, -77.204385)"
8/7/2014,22:21:00,MCP,"1st district, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,SHADY GROVE RD/ CORP BLVD,39.10995,-77.18773333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,CHEV,TRAVERSE,GRAY,Citation,16-112(c),Transportation Article,No,BLACK,F,ROCKVILLE,MD,GA,A - Marked Patrol,"(39.10995, -77.1877333333333)"
9/15/2014,19:43:00,MCP,"1st district, Rockville",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,FIRST ST / MAPLE AVE,39.08136,-77.13734833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,TOYOTA,COROLLA,BLACK,Citation,21-1124.2(d2),Transportation Article,No,ASIAN,F,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.08136, -77.1373483333333)"
8/1/2014,12:51:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING/ATTEMPTING DRIVE MOTOR VEH. ON HWY W/O REQ. LICENSE AND AUTHORIZATION,WOODFIELD RD/AIRPARK RD,39.14989,-77.23409,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,NISSAN,SENTRA,BLUE,Citation,16-101(a),Transportation Article,Yes,WHITE,M,CHEVERLY,MD,MD,A - Marked Patrol,"(39.14989, -77.23409)"
10/16/2014,22:33:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEH. ON HWY. ON SUSPENDED LIC. AND PRIVILEGE,NORBECK RD @ FIRESTONE DR,39.12093333,-76.98798333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,TOYOTA,COROLLA,RED,Citation,16-303(c),Transportation Article,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,"(39.1209333333333, -76.9879833333333)"
9/3/2014,16:36:00,MCP,"4th district, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,NORBECK / BAUER DR,39.095555,-77.11135667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,AUDI,4S,GRAY,Citation,13-411(f),Transportation Article,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.095555, -77.1113566666667)"
8/9/2014,2:12:00,MCP,"5th district, Germantown",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,RIDGE RD @ OBSERVATION DR,39.20663333,-77.246635,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HOND,4S,GRAY,Citation,21-204(b),Transportation Article,No,BLACK,M,NEW MARKET,MD,MD,A - Marked Patrol,"(39.2066333333333, -77.246635)"
9/5/2015,13:00:00,MCP,"5th district, Germantown",ATTEMPT BY DRIVER TO ELUDE UNIFORMED POLICE BY FLEEING ON FOOT,20141 CENTURY BLVD,39.06951167,-77.16223333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,FORD,TAURUS,GREEN,Citation,21-904(b2),Transportation Article,No,BLACK,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,"(39.0695116666667, -77.1622333333333)"
4/3/2015,22:07:00,MCP,"3rd district, Silver Spring",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,1020 NEW HAMPSHIRE AVE,39.02312833,-76.97801333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,FORD,CROWN VIC,MAROON,Citation,16-101(a),Transportation Article,No,BLACK,M,SEVERN,MD,MD,A - Marked Patrol,"(39.0231283333333, -76.9780133333333)"
1/16/2015,8:20:00,MCP,"2nd district, Bethesda",DRIVINGTO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,S/B 270 @ SHADY GROVE,39.10684333,-77.18364,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,FORD,EXPLORER,SILVER,Citation,16-101(a),Transportation Article,No,BLACK,M,NEW CARROLLTON,MD,MD,A - Marked Patrol,"(39.1068433333333, -77.18364)"
1/18/2015,11:11:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,SPARTAN RD / PRINCE PHILLIP DR,39.15636333,-77.05864333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,TOYOTA,4RUNNER,BLACK,Citation,16-115(g),Transportation Article,No,BLACK,M,OLNEY,MD,MD,A - Marked Patrol,"(39.1563633333333, -77.0586433333333)"
5/5/2015,14:57:00,MCP,"3rd district, Silver Spring",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,SECOND AVE @ FENWICK LA,38.996895,-77.0327,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2008,TOYOTA,COROLLA,SILVER,Citation,21-1124.2(d2),Transportation Article,No,BLACK,F,WASHINGTON,DC,DC,A - Marked Patrol,"(38.996895, -77.0327)"
2/3/2015,16:49:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,DEMOCRACY BLVD @ 495S RAMP,39.02166333,-77.14085,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,ACURA,MDX,SILVER,Citation,13-401(h),Transportation Article,No,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.0216633333333, -77.14085)"
4/22/2015,11:45:00,MCP,"4th district, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,1500 FOREST GLEN RD,39.05826667,-77.04879333,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2002,JEEP,SW,SILVER,Citation,16-101(a),Transportation Article,No,HISPANIC,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.0582666666667, -77.0487933333333)"
2/6/2015,21:43:00,MCP,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,OLD GEORGETOWN RD/ EDSON LN,39.03852167,-77.12285,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,HONDA,CIVIC,"BLUE, LIGHT",Citation,13-411(f),Transportation Article,No,HISPANIC,F,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0385216666667, -77.12285)"
4/9/2015,11:00:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,N/B GEORGIA AVE /  EXIT 495 WEST,39.01396167,-77.05455833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,CHRYSLER,300,SILVER,Citation,13-411(d),Transportation Article,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.0139616666667, -77.0545583333333)"
1/13/2016,19:36:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,VEIRS MILL RD/ASPEN HILL RD,39.06851,-77.10399,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,CHRY,4S,"BLUE, DARK",Citation,16-303(c),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.06851, -77.10399)"
7/16/2015,13:00:00,MCP,"3rd district, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,PINEY BRANCH RD AT ARLISS ST,38.99730167,-76.99957,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,TOYOTA,CAMRY,BLUE,Citation,13-411(f),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9973016666667, -76.99957)"
11/4/2015,1:05:00,MCP,"5th district, Germantown",DRIVING WHILE IMPAIRED BY ALCOHOL,MIDDLEBROOK RD/COMMONS SHOPPING CENTER,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,LINC,4S,RED,Citation,21-902(b1),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,
2/24/2015,16:30:00,MCP,"1st district, Rockville",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,12721 TWINBROOK PK (PARKING GARAGE EXIT),39.01517667,-77.10017167,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2004,FORD,TRUCK,BLUE,Citation,21-801(b),Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0151766666667, -77.1001716666667)"
3/24/2015,17:09:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,9919 WATKINS DR,39.23379167,-77.20605833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,DODG,VN,BLUE,Citation,13-401(h),Transportation Article,No,WHITE,M,ELDERSBURG,MD,MD,A - Marked Patrol,"(39.2337916666667, -77.2060583333333)"
5/8/2015,14:30:00,MCP,"3rd district, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,FENTON STREET / GIST AVENUE,38.98985167,-77.024005,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,CHRYSLER,PT CRUISER,BLACK,Citation,13-411(f),Transportation Article,No,WHITE,M,ELLICOTT CITY,MD,MD,A - Marked Patrol,"(38.9898516666667, -77.024005)"
5/8/2015,10:52:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,531 RANDOLPH RD,39.06141833,-77.053975,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,VOLK,4S,GRAY,Citation,21-801(b),Transportation Article,No,OTHER,M,BETHESDA,MD,MD,A - Marked Patrol,"(39.0614183333333, -77.053975)"
11/30/2015,23:01:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,MONTGOMERY VILLAGE AVE @ LOST KNIFE RD,39.155165,-77.20840167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,RANGE ROVER,SPORT HSE,SILVER,Citation,16-303(c),Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(39.155165, -77.2084016666667)"
2/19/2016,0:14:00,MCP,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,EAST WEST HWY/EDGEVALE ST,38.98784667,-77.07670333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HYUN,4S,SILVER,Citation,16-303(d),Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,Q - Marked Laser,"(38.9878466666667, -77.0767033333333)"
12/22/2014,22:26:00,MCP,"3rd district, Silver Spring",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,SLIGO CREEK PKWY/PINEY BRANCH RD,38.99571167,-77.00491333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,MAZDA,CX7,"BLUE, LIGHT",Citation,16-303(c),Transportation Article,No,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,"(38.9957116666667, -77.0049133333333)"
2/12/2015,8:35:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,NB MONTGOMERY VILLAGE AVE/MALL ENTRANCE,39.15638833,-77.20623667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,FORD,EXPLORER,BLUE,Citation,16-115(g),Transportation Article,No,BLACK,F,MONTGOMERY VILLAGE,MD,CA,A - Marked Patrol,"(39.1563883333333, -77.2062366666667)"
2/13/2015,21:21:00,MCP,"4th district, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,GEORGIA AVE @ PRICE RD,39.04018833,-77.05079333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,CHRYSLER,300,BLACK,Citation,13-411(f),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0401883333333, -77.0507933333333)"
8/17/2015,22:30:00,MCP,"5th district, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",RT 355 @ 118,39.19201833,-77.244,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,NISS,4S,SILVER,Citation,16-303(h),Transportation Article,No,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1920183333333, -77.244)"
3/20/2015,0:41:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE WHILE UNDERTHE INFLUENCE OF ALCOHOL,WOODMONT AVE AT EDGEMOOR LN,38.98363667,-77.09318833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,TOYOTA,CAMRY,RED,Citation,21-902(a1),Transportation Article,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,"(38.9836366666667, -77.0931883333333)"
7/27/2015,19:25:00,MCP,"5th district, Germantown",FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,FATHER HURLEY BLVD @ CRYSTAL ROCK DR,39.19254,-77.27120167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,HONDA,CIVIV,BLACK,Citation,13-411(a),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.19254, -77.2712016666667)"
10/30/2015,0:15:00,MCP,"3rd district, Silver Spring",DRIVING WHILE IMPAIRED BY ALCOHOL,NB NEW HAMPSHIRE AVE @ MANHAN RD,39.04753167,-76.99335333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,TOYOTA,CAMRY,BLUE,Citation,21-902(b1),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0475316666667, -76.9933533333333)"
3/26/2015,14:55:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,GEORGIA@HOME DEPOT PARKING LOT ENTRANCE,39.08587833,-77.07893,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,TOYT,4S,RED,Citation,16-115(g),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0858783333333, -77.07893)"
3/1/2015,3:54:00,MCP,"4th district, Wheaton",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,VEIRS MILL RD / HERITAGE PARK CIR,39.06304167,-77.047365,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HONDA,CIVIC,BLACK,Citation,21-902(a2),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0630416666667, -77.047365)"
11/14/2014,1:47:00,MCP,"3rd district, Silver Spring",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,WAYNE AVENUE @ DALE DR,39.04502,-76.99244,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,TOYOTA,CORROLA,SILVER,Citation,21-204(b),Transportation Article,No,WHITE,M,ADELPHI,MD,MD,A - Marked Patrol,"(39.04502, -76.99244)"
5/9/2015,12:36:00,MCP,"6th district, Gaithersburg / Montgomery Village","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",ODENHAL AV / RUSSELL AV,39.15081,-77.20377667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,MAZD,3,SILVER,Citation,21-901.1(b),Transportation Article,Yes,HISPANIC,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.15081, -77.2037766666667)"
12/7/2014,20:19:00,MCP,"5th district, Germantown",FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,MIDDLEBROOK RD. AT CENTURY BLVD.,39.18005167,-77.268305,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995,TOYT,COROLLA - 4S,"GREEN, LGT",Citation,13-411(c2),Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1800516666667, -77.268305)"
2/5/2015,21:36:00,MCP,"5th district, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,CLOPPER RD AT MATENY RD,39.1558,-77.26678,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,CHEVROLET,TK,SILVER,Citation,13-401(h),Transportation Article,No,WHITE,F,BURTONSVILLE,MD,MD,A - Marked Patrol,"(39.1558, -77.26678)"
2/26/2015,13:13:00,MCP,"4th district, Wheaton",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,GEORGIA AVE @ HEWITT AVE,39.07633167,-77.06960333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,TOYOTA,SOLARA,"BLUE, LIGHT",Citation,16-105(b1),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0763316666667, -77.0696033333333)"
3/13/2015,14:20:00,MCP,"4th district, Wheaton",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,1901 RANDOLPH RD @ KENNEDY HIGH SCHOOL,39.05818167,-77.08381333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,0,MITS,ECLIPSE,BLACK,Citation,21-310(a),Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0581816666667, -77.0838133333333)"
2/13/2015,15:51:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,NB NEW HAMSSHIRE AVE @ DILSTON RD,39.01261833,-76.97867333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,ACUR,SUMDX,BLACK,Citation,13-401(h),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0126183333333, -76.9786733333333)"
4/21/2015,23:52:00,MCP,"5th district, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,FREDERICK RD @ SHAKESPEARE BLVD,39.198685,-77.24500833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,CHEVY,COBALT,RED,Citation,16-303(c),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.198685, -77.2450083333333)"
4/18/2015,11:22:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,COLESVILLE RD @ LORAIN AVE,39.02669333,-77.010505,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,HOND,CP,SILVER,Citation,16-113(h),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0266933333333, -77.010505)"
5/3/2015,12:49:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 51 MPH IN A POSTED 35 MPH ZONE,MVA@GREENSIDE,39.18050167,-77.20037333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,SUBA,SW,SILVER,Citation,21-801.1,Transportation Article,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,Q - Marked Laser,"(39.1805016666667, -77.2003733333333)"
1/22/2015,19:38:00,MCP,"5th district, Germantown",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,2355@PINE NEEDLE DR,39.21950833,-77.25694833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,HYUNDAI,ELANTRA,GRAY,Citation,16-112(c),Transportation Article,No,BLACK,M,HAGERSTOWN,MD,MD,A - Marked Patrol,"(39.2195083333333, -77.2569483333333)"
1/4/2015,19:22:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,355 /  TUCKERMAN LN,39.14112333,-76.99440833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,MITSUBISHI,SUV,BLUE,Citation,21-801(a),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1411233333333, -76.9944083333333)"
3/23/2015,9:11:00,MCP,"3rd district, Silver Spring",EXCEEDING MAXIMUM SPEED: 50 MPH IN A POSTED 40 MPH ZONE,UNIVERSITY BLVD EAST AT BUCKINGHAM DRIVE,39.01240333,-77.00269167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,CHRY,2S,BLACK,Citation,21-801.1,Transportation Article,No,BLACK,M,BOWIE,MD,MD,A - Marked Patrol,"(39.0124033333333, -77.0026916666667)"
4/1/2015,2:35:00,MCP,"5th district, Germantown",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,12982 MIDDLEBROOK RD,,,No,No,No,No,No,No,No,No,No,No,CA,02 - Automobile,2014,NISSAN,QUEST,SILVER,Citation,21-902(a1),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,
4/14/2015,11:40:00,MCP,"3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",BRIGGS CHANEY AND GENTRY RIDGE COURT,39.072505,-76.93921,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,TOYOTA,TACOMA,GOLD,Citation,16-303(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.072505, -76.93921)"
2/2/2015,22:26:00,MCP,"6th district, Gaithersburg / Montgomery Village",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,CHRISTOPHER / N FREDERICK,39.15648833,-77.21539167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,BMW,325I,WHITE,Citation,16-105(b1),Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1564883333333, -77.2153916666667)"
5/23/2015,3:26:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,WOODMONT AVE AT OLD GEORGETOWN RD,,,No,No,No,No,No,No,No,No,No,No,WV,02 - Automobile,1997,PLYMOUTH,BREEZE,"GREEN, DK",Citation,21-201(a1),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,
5/1/2015,17:16:00,MCP,"3rd district, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,8900 PINEY BRANCH RD.,38.99978667,-76.99342667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,TOYOTA,COROLLA,BLUE,Citation,13-411(f),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9997866666667, -76.9934266666667)"
7/9/2015,1:40:00,MCP,"5th district, Germantown",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,FREDERICK ROAD @ SHAKESPEARE BLVD,39.18514667,-77.26267833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,FORD,EXPLORE,RED,Citation,21-902(a1),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1851466666667, -77.2626783333333)"
6/5/2015,7:18:00,MCP,"2nd district, Bethesda",DRIVING A MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,NB RIVER RD/ BROOKSIDE DR,39.15125333,-77.19118,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2003,CHRY,VAN,"BLUE, DARK",Citation,16-101(a),Transportation Article,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,"(39.1512533333333, -77.19118)"
10/3/2015,14:54:00,MCP,"6th district, Gaithersburg / Montgomery Village",OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT,W DIAMOND AVE @ MEEM AVE,39.14099667,-77.20132833,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2007,HOND,ACCORD,GRAY,Citation,22-412.3(b),Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1409966666667, -77.2013283333333)"
5/3/2015,10:11:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE / ARCOLA AVE,39.04555333,-77.05247333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,HOND,2S,BLUE,Citation,16-112(c),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0455533333333, -77.0524733333333)"
2/3/2015,13:17:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,N/B OLD GEORGETOWN RD @ CENTER DRIVE,39.00259333,-77.10980833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,M BENZ,C300 SEDAN,SILVER,Citation,13-401(h),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0025933333333, -77.1098083333333)"
7/16/2015,23:30:00,MCP,Headquarters and Special Operations,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,RIVER ROAD AND GOLDSBORO ROAD,38.98825667,-77.08938167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,TOYOTA,CAMRY,WHITE,Citation,21-902(a2),Transportation Article,No,HISPANIC,M,BETHESDA,MD,MD,B - Unmarked Patrol,"(38.9882566666667, -77.0893816666667)"
